layer,benchmark,model,score,error
projection,Pereira2018-encoding,glove,0.128972632,0.053678963
projection,Pereira2018-encoding,glove-untrained,0.114336562,0.084720104
projection,Pereira2018-encoding,ETM,0.078775245,0.053719318
projection,Pereira2018-encoding,ETM-untrained,0.06177122,0.130168523
projection,Pereira2018-encoding,word2vec,0.116959344,0.040668094
projection,Pereira2018-encoding,word2vec-untrained,0.105187819,0.029524836
lstm/lstm_0/control_dependency,Pereira2018-encoding,lm_1b,0.211638649,0.146944801
lstm/lstm_1/control_dependency,Pereira2018-encoding,lm_1b,0.593996587,0.116213163
lstm/lstm_0/control_dependency,Pereira2018-encoding,lm_1b-untrained,0.14108233,0.15271226
lstm/lstm_1/control_dependency,Pereira2018-encoding,lm_1b-untrained,0.292761913,0.094086435
encoder,Pereira2018-encoding,skip-thoughts,0.543269646,0.129803154
encoder,Pereira2018-encoding,skip-thoughts-untrained,0.543320387,0.12944007
embeddings,Pereira2018-encoding,distilbert-base-uncased,0.037306627,0.071380517
transformer.layer.0,Pereira2018-encoding,distilbert-base-uncased,0.289013681,0.095007689
transformer.layer.1,Pereira2018-encoding,distilbert-base-uncased,0.421485728,0.084827587
transformer.layer.2,Pereira2018-encoding,distilbert-base-uncased,0.483408428,0.074754152
transformer.layer.3,Pereira2018-encoding,distilbert-base-uncased,0.480133776,0.047227005
transformer.layer.4,Pereira2018-encoding,distilbert-base-uncased,0.527411283,0.069451819
transformer.layer.5,Pereira2018-encoding,distilbert-base-uncased,0.611438679,0.07996751
embeddings,Pereira2018-encoding,distilbert-base-uncased-untrained,0.027170106,0.048039146
transformer.layer.0,Pereira2018-encoding,distilbert-base-uncased-untrained,0.058567053,0.066715421
transformer.layer.1,Pereira2018-encoding,distilbert-base-uncased-untrained,0.063184253,0.077468583
transformer.layer.2,Pereira2018-encoding,distilbert-base-uncased-untrained,0.061998815,0.029435714
transformer.layer.3,Pereira2018-encoding,distilbert-base-uncased-untrained,0.052612665,0.037375671
transformer.layer.4,Pereira2018-encoding,distilbert-base-uncased-untrained,0.087718801,0.056389398
transformer.layer.5,Pereira2018-encoding,distilbert-base-uncased-untrained,0.076216698,0.021354059
embedding,Pereira2018-encoding,bert-base-uncased,0.013642146,0.08250502
encoder.layer.0.output,Pereira2018-encoding,bert-base-uncased,0.26581862,0.102443198
encoder.layer.1.output,Pereira2018-encoding,bert-base-uncased,0.289102682,0.068305247
encoder.layer.2.output,Pereira2018-encoding,bert-base-uncased,0.342280454,0.180509329
encoder.layer.3.output,Pereira2018-encoding,bert-base-uncased,0.364508486,0.064682733
encoder.layer.4.output,Pereira2018-encoding,bert-base-uncased,0.495500076,0.132996901
encoder.layer.5.output,Pereira2018-encoding,bert-base-uncased,0.453755129,0.110634526
encoder.layer.6.output,Pereira2018-encoding,bert-base-uncased,0.430339975,0.142584092
encoder.layer.7.output,Pereira2018-encoding,bert-base-uncased,0.388871608,0.107816802
encoder.layer.8.output,Pereira2018-encoding,bert-base-uncased,0.457261878,0.166104699
encoder.layer.9.output,Pereira2018-encoding,bert-base-uncased,0.532678335,0.127718508
encoder.layer.10.output,Pereira2018-encoding,bert-base-uncased,0.498916888,0.110370081
encoder.layer.11.output,Pereira2018-encoding,bert-base-uncased,0.571103345,0.072289164
embedding,Pereira2018-encoding,bert-base-uncased-untrained,-0.019182392,0.074356996
encoder.layer.0.output,Pereira2018-encoding,bert-base-uncased-untrained,0.031965714,0.036661513
encoder.layer.1.output,Pereira2018-encoding,bert-base-uncased-untrained,0.042907203,0.046577515
encoder.layer.2.output,Pereira2018-encoding,bert-base-uncased-untrained,0.049495178,0.040570217
encoder.layer.3.output,Pereira2018-encoding,bert-base-uncased-untrained,0.066082835,0.049217023
encoder.layer.4.output,Pereira2018-encoding,bert-base-uncased-untrained,0.12084746,0.063256889
encoder.layer.5.output,Pereira2018-encoding,bert-base-uncased-untrained,0.124181387,0.079809441
encoder.layer.6.output,Pereira2018-encoding,bert-base-uncased-untrained,0.109907508,0.051432828
encoder.layer.7.output,Pereira2018-encoding,bert-base-uncased-untrained,0.109285307,0.056890338
encoder.layer.8.output,Pereira2018-encoding,bert-base-uncased-untrained,0.116957193,0.035418234
encoder.layer.9.output,Pereira2018-encoding,bert-base-uncased-untrained,0.107500879,0.058835379
encoder.layer.10.output,Pereira2018-encoding,bert-base-uncased-untrained,0.107640796,0.085768981
encoder.layer.11.output,Pereira2018-encoding,bert-base-uncased-untrained,0.164552469,0.100710233
embedding,Pereira2018-encoding,bert-base-multilingual-cased,-0.001402311,0.023448409
encoder.layer.0.output,Pereira2018-encoding,bert-base-multilingual-cased,0.378844606,0.06235127
encoder.layer.1.output,Pereira2018-encoding,bert-base-multilingual-cased,0.403134965,0.073526586
encoder.layer.2.output,Pereira2018-encoding,bert-base-multilingual-cased,0.391378595,0.120230091
encoder.layer.3.output,Pereira2018-encoding,bert-base-multilingual-cased,0.418677761,0.0898564
encoder.layer.4.output,Pereira2018-encoding,bert-base-multilingual-cased,0.47053295,0.015636226
encoder.layer.5.output,Pereira2018-encoding,bert-base-multilingual-cased,0.398669588,0.071351423
encoder.layer.6.output,Pereira2018-encoding,bert-base-multilingual-cased,0.416266571,0.098352061
encoder.layer.7.output,Pereira2018-encoding,bert-base-multilingual-cased,0.435042043,0.155413945
encoder.layer.8.output,Pereira2018-encoding,bert-base-multilingual-cased,0.439609292,0.078509809
encoder.layer.9.output,Pereira2018-encoding,bert-base-multilingual-cased,0.466298335,0.140993875
encoder.layer.10.output,Pereira2018-encoding,bert-base-multilingual-cased,0.501127042,0.092283415
encoder.layer.11.output,Pereira2018-encoding,bert-base-multilingual-cased,0.517016765,0.136147121
embedding,Pereira2018-encoding,bert-base-multilingual-cased-untrained,0.02445838,0.047012011
encoder.layer.0.output,Pereira2018-encoding,bert-base-multilingual-cased-untrained,0.056788012,0.063535166
encoder.layer.1.output,Pereira2018-encoding,bert-base-multilingual-cased-untrained,0.055359335,0.075253503
encoder.layer.2.output,Pereira2018-encoding,bert-base-multilingual-cased-untrained,0.074947543,0.057744573
encoder.layer.3.output,Pereira2018-encoding,bert-base-multilingual-cased-untrained,0.100778968,0.040994435
encoder.layer.4.output,Pereira2018-encoding,bert-base-multilingual-cased-untrained,0.08164474,0.059439619
encoder.layer.5.output,Pereira2018-encoding,bert-base-multilingual-cased-untrained,0.079211377,0.057728165
encoder.layer.6.output,Pereira2018-encoding,bert-base-multilingual-cased-untrained,0.081969654,0.027591505
encoder.layer.7.output,Pereira2018-encoding,bert-base-multilingual-cased-untrained,0.116103735,0.04940407
encoder.layer.8.output,Pereira2018-encoding,bert-base-multilingual-cased-untrained,0.103233114,0.038044024
encoder.layer.9.output,Pereira2018-encoding,bert-base-multilingual-cased-untrained,0.077114578,0.041595506
encoder.layer.10.output,Pereira2018-encoding,bert-base-multilingual-cased-untrained,0.080673804,0.044574978
encoder.layer.11.output,Pereira2018-encoding,bert-base-multilingual-cased-untrained,0.089691922,0.084045326
embedding,Pereira2018-encoding,bert-large-uncased,0.015989293,0.093841508
encoder.layer.0.output,Pereira2018-encoding,bert-large-uncased,0.303409127,0.156453694
encoder.layer.1.output,Pereira2018-encoding,bert-large-uncased,0.405267318,0.052706053
encoder.layer.2.output,Pereira2018-encoding,bert-large-uncased,0.448615586,0.111123187
encoder.layer.3.output,Pereira2018-encoding,bert-large-uncased,0.528024292,0.12239998
encoder.layer.4.output,Pereira2018-encoding,bert-large-uncased,0.565986988,0.114568875
encoder.layer.5.output,Pereira2018-encoding,bert-large-uncased,0.589002757,0.115321132
encoder.layer.6.output,Pereira2018-encoding,bert-large-uncased,0.643810413,0.095155568
encoder.layer.7.output,Pereira2018-encoding,bert-large-uncased,0.724263439,0.070803445
encoder.layer.8.output,Pereira2018-encoding,bert-large-uncased,0.664221752,0.065279059
encoder.layer.9.output,Pereira2018-encoding,bert-large-uncased,0.638930422,0.082136235
encoder.layer.10.output,Pereira2018-encoding,bert-large-uncased,0.579220031,0.093908127
encoder.layer.11.output,Pereira2018-encoding,bert-large-uncased,0.519966029,0.133939692
encoder.layer.12.output,Pereira2018-encoding,bert-large-uncased,0.504610749,0.104139139
encoder.layer.13.output,Pereira2018-encoding,bert-large-uncased,0.4253254,0.174873832
encoder.layer.14.output,Pereira2018-encoding,bert-large-uncased,0.361420269,0.118594861
encoder.layer.15.output,Pereira2018-encoding,bert-large-uncased,0.415536848,0.178356678
encoder.layer.16.output,Pereira2018-encoding,bert-large-uncased,0.512576062,0.127742099
encoder.layer.17.output,Pereira2018-encoding,bert-large-uncased,0.55280922,0.164713244
encoder.layer.18.output,Pereira2018-encoding,bert-large-uncased,0.534326687,0.186718451
encoder.layer.19.output,Pereira2018-encoding,bert-large-uncased,0.551416781,0.08548269
encoder.layer.20.output,Pereira2018-encoding,bert-large-uncased,0.579253006,0.061930777
encoder.layer.21.output,Pereira2018-encoding,bert-large-uncased,0.56930557,0.063351892
encoder.layer.22.output,Pereira2018-encoding,bert-large-uncased,0.566688478,0.066288239
encoder.layer.23.output,Pereira2018-encoding,bert-large-uncased,0.554111876,0.077129992
embedding,Pereira2018-encoding,bert-large-uncased-untrained,0.011242533,0.096921668
encoder.layer.0.output,Pereira2018-encoding,bert-large-uncased-untrained,0.085595524,0.070943473
encoder.layer.1.output,Pereira2018-encoding,bert-large-uncased-untrained,0.044367984,0.060341394
encoder.layer.2.output,Pereira2018-encoding,bert-large-uncased-untrained,0.088485355,0.06139336
encoder.layer.3.output,Pereira2018-encoding,bert-large-uncased-untrained,0.128222947,0.061613737
encoder.layer.4.output,Pereira2018-encoding,bert-large-uncased-untrained,0.13980016,0.058117978
encoder.layer.5.output,Pereira2018-encoding,bert-large-uncased-untrained,0.171493735,0.096910256
encoder.layer.6.output,Pereira2018-encoding,bert-large-uncased-untrained,0.138162104,0.041025162
encoder.layer.7.output,Pereira2018-encoding,bert-large-uncased-untrained,0.152397916,0.063809759
encoder.layer.8.output,Pereira2018-encoding,bert-large-uncased-untrained,0.172876678,0.083578571
encoder.layer.9.output,Pereira2018-encoding,bert-large-uncased-untrained,0.158584638,0.045549976
encoder.layer.10.output,Pereira2018-encoding,bert-large-uncased-untrained,0.149599116,0.034241006
encoder.layer.11.output,Pereira2018-encoding,bert-large-uncased-untrained,0.118047673,0.045196587
encoder.layer.12.output,Pereira2018-encoding,bert-large-uncased-untrained,0.169657292,0.071455475
encoder.layer.13.output,Pereira2018-encoding,bert-large-uncased-untrained,0.166270536,0.107372516
encoder.layer.14.output,Pereira2018-encoding,bert-large-uncased-untrained,0.164377047,0.090664924
encoder.layer.15.output,Pereira2018-encoding,bert-large-uncased-untrained,0.219756645,0.107788046
encoder.layer.16.output,Pereira2018-encoding,bert-large-uncased-untrained,0.224307736,0.098213507
encoder.layer.17.output,Pereira2018-encoding,bert-large-uncased-untrained,0.236965851,0.089769733
encoder.layer.18.output,Pereira2018-encoding,bert-large-uncased-untrained,0.261555485,0.076449937
encoder.layer.19.output,Pereira2018-encoding,bert-large-uncased-untrained,0.244465177,0.093645813
encoder.layer.20.output,Pereira2018-encoding,bert-large-uncased-untrained,0.232357048,0.013057982
encoder.layer.21.output,Pereira2018-encoding,bert-large-uncased-untrained,0.263923147,0.066388336
encoder.layer.22.output,Pereira2018-encoding,bert-large-uncased-untrained,0.235090343,0.084374752
encoder.layer.23.output,Pereira2018-encoding,bert-large-uncased-untrained,0.277743394,0.085603129
embedding,Pereira2018-encoding,bert-large-uncased-whole-word-masking,-0.014555051,0.051896646
encoder.layer.0.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking,0.468098433,0.116809213
encoder.layer.1.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking,0.56036812,0.117658672
encoder.layer.2.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking,0.61006279,0.06160996
encoder.layer.3.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking,0.580978465,0.023337981
encoder.layer.4.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking,0.612989601,0.098430557
encoder.layer.5.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking,0.52198715,0.078873951
encoder.layer.6.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking,0.542470624,0.083204632
encoder.layer.7.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking,0.621892371,0.115083564
encoder.layer.8.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking,0.584719828,0.151393963
encoder.layer.9.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking,0.616813326,0.136622139
encoder.layer.10.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking,0.628435782,0.180728487
encoder.layer.11.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking,0.74473395,0.160847106
encoder.layer.12.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking,0.68410015,0.153086897
encoder.layer.13.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking,0.686441603,0.190782079
encoder.layer.14.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking,0.637879576,0.225830569
encoder.layer.15.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking,0.607728406,0.190083013
encoder.layer.16.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking,0.518200255,0.248860863
encoder.layer.17.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking,0.441321295,0.261182284
encoder.layer.18.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking,0.46584952,0.241188183
encoder.layer.19.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking,0.218010589,0.099867152
encoder.layer.20.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking,0.156411819,0.07924979
encoder.layer.21.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking,0.074692194,0.043627556
encoder.layer.22.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking,0.032043432,0.075104279
encoder.layer.23.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking,0.408637598,0.069242807
embedding,Pereira2018-encoding,bert-large-uncased-whole-word-masking-untrained,0.020173007,0.041290974
encoder.layer.0.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking-untrained,0.067866961,0.075216779
encoder.layer.1.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking-untrained,0.059262213,0.043022226
encoder.layer.2.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking-untrained,0.079013009,0.041499276
encoder.layer.3.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking-untrained,0.087828696,0.039472666
encoder.layer.4.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking-untrained,0.095906035,0.065733204
encoder.layer.5.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking-untrained,0.105030111,0.057232621
encoder.layer.6.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking-untrained,0.069684827,0.059536133
encoder.layer.7.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking-untrained,0.105145687,0.066483838
encoder.layer.8.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking-untrained,0.117302027,0.142665567
encoder.layer.9.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking-untrained,0.122871432,0.055646082
encoder.layer.10.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking-untrained,0.186247837,0.040660099
encoder.layer.11.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking-untrained,0.202037882,0.084494945
encoder.layer.12.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking-untrained,0.219564776,0.122958114
encoder.layer.13.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking-untrained,0.184063379,0.053913052
encoder.layer.14.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking-untrained,0.229836329,0.029416558
encoder.layer.15.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking-untrained,0.24806644,0.042217784
encoder.layer.16.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking-untrained,0.26742657,0.029128326
encoder.layer.17.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking-untrained,0.247087393,0.066964854
encoder.layer.18.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking-untrained,0.232301377,0.063739487
encoder.layer.19.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking-untrained,0.228206928,0.08684424
encoder.layer.20.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking-untrained,0.236208155,0.087237436
encoder.layer.21.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking-untrained,0.247142367,0.081768076
encoder.layer.22.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking-untrained,0.225421496,0.082604124
encoder.layer.23.output,Pereira2018-encoding,bert-large-uncased-whole-word-masking-untrained,0.258791845,0.081795318
embedding,Pereira2018-encoding,distilroberta-base,-0.040109524,0.01573403
encoder.layer.0,Pereira2018-encoding,distilroberta-base,0.407549117,0.09809304
encoder.layer.1,Pereira2018-encoding,distilroberta-base,0.440611883,0.094642643
encoder.layer.2,Pereira2018-encoding,distilroberta-base,0.293388667,0.062113022
encoder.layer.3,Pereira2018-encoding,distilroberta-base,0.078874799,0.080211162
encoder.layer.4,Pereira2018-encoding,distilroberta-base,0.089299911,0.102162661
encoder.layer.5,Pereira2018-encoding,distilroberta-base,0.447455885,0.096091686
embedding,Pereira2018-encoding,distilroberta-base-untrained,-0.01144902,0.055198257
encoder.layer.0,Pereira2018-encoding,distilroberta-base-untrained,0.042030562,0.054180958
encoder.layer.1,Pereira2018-encoding,distilroberta-base-untrained,0.047607179,0.031222194
encoder.layer.2,Pereira2018-encoding,distilroberta-base-untrained,0.054481733,0.047658267
encoder.layer.3,Pereira2018-encoding,distilroberta-base-untrained,0.071136471,0.052436549
encoder.layer.4,Pereira2018-encoding,distilroberta-base-untrained,0.067471083,0.068204195
encoder.layer.5,Pereira2018-encoding,distilroberta-base-untrained,0.092455417,0.037633405
embedding,Pereira2018-encoding,roberta-base,-0.009196422,0.086113758
encoder.layer.0,Pereira2018-encoding,roberta-base,0.48760394,0.101426972
encoder.layer.1,Pereira2018-encoding,roberta-base,0.517972718,0.137592633
encoder.layer.2,Pereira2018-encoding,roberta-base,0.479713921,0.109158444
encoder.layer.3,Pereira2018-encoding,roberta-base,0.292712299,0.081202814
encoder.layer.4,Pereira2018-encoding,roberta-base,0.170101471,0.068025741
encoder.layer.5,Pereira2018-encoding,roberta-base,0.112031807,0.050065603
encoder.layer.6,Pereira2018-encoding,roberta-base,0.032360204,0.037432253
encoder.layer.7,Pereira2018-encoding,roberta-base,0.004218309,0.05290776
encoder.layer.8,Pereira2018-encoding,roberta-base,0.104991891,0.067665373
encoder.layer.9,Pereira2018-encoding,roberta-base,0.051584975,0.077827877
encoder.layer.10,Pereira2018-encoding,roberta-base,0.09283506,0.058560713
encoder.layer.11,Pereira2018-encoding,roberta-base,0.431996751,0.043999497
embedding,Pereira2018-encoding,roberta-base-untrained,0.037718391,0.034125904
encoder.layer.0,Pereira2018-encoding,roberta-base-untrained,0.085536127,0.039048987
encoder.layer.1,Pereira2018-encoding,roberta-base-untrained,0.059742394,0.032956305
encoder.layer.2,Pereira2018-encoding,roberta-base-untrained,0.082537468,0.020079928
encoder.layer.3,Pereira2018-encoding,roberta-base-untrained,0.07744059,0.039934334
encoder.layer.4,Pereira2018-encoding,roberta-base-untrained,0.096982718,0.093223275
encoder.layer.5,Pereira2018-encoding,roberta-base-untrained,0.096206789,0.114014908
encoder.layer.6,Pereira2018-encoding,roberta-base-untrained,0.115246417,0.06367445
encoder.layer.7,Pereira2018-encoding,roberta-base-untrained,0.123703083,0.066821283
encoder.layer.8,Pereira2018-encoding,roberta-base-untrained,0.11779271,0.084107089
encoder.layer.9,Pereira2018-encoding,roberta-base-untrained,0.155443988,0.078846411
encoder.layer.10,Pereira2018-encoding,roberta-base-untrained,0.14366434,0.063950512
encoder.layer.11,Pereira2018-encoding,roberta-base-untrained,0.165520337,0.047360764
embedding,Pereira2018-encoding,roberta-large,-0.008871731,0.068473471
encoder.layer.0,Pereira2018-encoding,roberta-large,0.461793453,0.088827575
encoder.layer.1,Pereira2018-encoding,roberta-large,0.3921579,0.079537992
encoder.layer.2,Pereira2018-encoding,roberta-large,0.402253757,0.077916283
encoder.layer.3,Pereira2018-encoding,roberta-large,0.384427655,0.081852841
encoder.layer.4,Pereira2018-encoding,roberta-large,0.305214512,0.094812643
encoder.layer.5,Pereira2018-encoding,roberta-large,0.246013738,0.082406495
encoder.layer.6,Pereira2018-encoding,roberta-large,0.241292701,0.099465589
encoder.layer.7,Pereira2018-encoding,roberta-large,0.175480075,0.087916067
encoder.layer.8,Pereira2018-encoding,roberta-large,0.117192196,0.061709822
encoder.layer.9,Pereira2018-encoding,roberta-large,0.110348958,0.065561259
encoder.layer.10,Pereira2018-encoding,roberta-large,0.112364072,0.058443894
encoder.layer.11,Pereira2018-encoding,roberta-large,0.048700471,0.060111143
encoder.layer.12,Pereira2018-encoding,roberta-large,0.058430963,0.024338552
encoder.layer.13,Pereira2018-encoding,roberta-large,0.029454147,0.086610117
encoder.layer.14,Pereira2018-encoding,roberta-large,0.006332491,0.064386402
encoder.layer.15,Pereira2018-encoding,roberta-large,-0.03186124,0.039193261
encoder.layer.16,Pereira2018-encoding,roberta-large,0.11717572,0.084683546
encoder.layer.17,Pereira2018-encoding,roberta-large,-0.006236392,0.078233848
encoder.layer.18,Pereira2018-encoding,roberta-large,0.048148203,0.038345976
encoder.layer.19,Pereira2018-encoding,roberta-large,0.041483551,0.060276108
encoder.layer.20,Pereira2018-encoding,roberta-large,0.029297013,0.082852228
encoder.layer.21,Pereira2018-encoding,roberta-large,0.084719955,0.047269368
encoder.layer.22,Pereira2018-encoding,roberta-large,0.023898581,0.069106659
encoder.layer.23,Pereira2018-encoding,roberta-large,0.203178191,0.070565347
embedding,Pereira2018-encoding,roberta-large-untrained,-0.020215263,0.082379229
encoder.layer.0,Pereira2018-encoding,roberta-large-untrained,0.052188997,0.055630113
encoder.layer.1,Pereira2018-encoding,roberta-large-untrained,0.104268509,0.099463242
encoder.layer.2,Pereira2018-encoding,roberta-large-untrained,0.085612056,0.03425084
encoder.layer.3,Pereira2018-encoding,roberta-large-untrained,0.121771008,0.041798902
encoder.layer.4,Pereira2018-encoding,roberta-large-untrained,0.138026462,0.036035874
encoder.layer.5,Pereira2018-encoding,roberta-large-untrained,0.123517957,0.110291391
encoder.layer.6,Pereira2018-encoding,roberta-large-untrained,0.079806624,0.028021479
encoder.layer.7,Pereira2018-encoding,roberta-large-untrained,0.123660607,0.072769922
encoder.layer.8,Pereira2018-encoding,roberta-large-untrained,0.138710427,0.097585165
encoder.layer.9,Pereira2018-encoding,roberta-large-untrained,0.073170168,0.074551542
encoder.layer.10,Pereira2018-encoding,roberta-large-untrained,0.169309128,0.086939604
encoder.layer.11,Pereira2018-encoding,roberta-large-untrained,0.201293813,0.100356711
encoder.layer.12,Pereira2018-encoding,roberta-large-untrained,0.163851456,0.05514858
encoder.layer.13,Pereira2018-encoding,roberta-large-untrained,0.151272912,0.034637112
encoder.layer.14,Pereira2018-encoding,roberta-large-untrained,0.227893653,0.06387135
encoder.layer.15,Pereira2018-encoding,roberta-large-untrained,0.199908602,0.098390303
encoder.layer.16,Pereira2018-encoding,roberta-large-untrained,0.179351337,0.070256496
encoder.layer.17,Pereira2018-encoding,roberta-large-untrained,0.205066957,0.095328849
encoder.layer.18,Pereira2018-encoding,roberta-large-untrained,0.201744542,0.088860069
encoder.layer.19,Pereira2018-encoding,roberta-large-untrained,0.210941741,0.036751246
encoder.layer.20,Pereira2018-encoding,roberta-large-untrained,0.251815388,0.088684072
encoder.layer.21,Pereira2018-encoding,roberta-large-untrained,0.2648106,0.088470135
encoder.layer.22,Pereira2018-encoding,roberta-large-untrained,0.273034864,0.087189
encoder.layer.23,Pereira2018-encoding,roberta-large-untrained,0.284154451,0.058705761
dropout,Pereira2018-encoding,xlm-mlm-enfr-1024,-0.001929781,0.089206256
encoder.layer_norm2.0,Pereira2018-encoding,xlm-mlm-enfr-1024,0.178985999,0.06724642
encoder.layer_norm2.1,Pereira2018-encoding,xlm-mlm-enfr-1024,0.430972287,0.037472106
encoder.layer_norm2.2,Pereira2018-encoding,xlm-mlm-enfr-1024,0.471745288,0.111460531
encoder.layer_norm2.3,Pereira2018-encoding,xlm-mlm-enfr-1024,0.440805056,0.110991198
encoder.layer_norm2.4,Pereira2018-encoding,xlm-mlm-enfr-1024,0.502444186,0.105080716
encoder.layer_norm2.5,Pereira2018-encoding,xlm-mlm-enfr-1024,0.514789869,0.036945653
dropout,Pereira2018-encoding,xlm-mlm-enfr-1024-untrained,-0.023011678,0.05688702
encoder.layer_norm2.0,Pereira2018-encoding,xlm-mlm-enfr-1024-untrained,0.088799088,0.091205824
encoder.layer_norm2.1,Pereira2018-encoding,xlm-mlm-enfr-1024-untrained,0.090837592,0.062369044
encoder.layer_norm2.2,Pereira2018-encoding,xlm-mlm-enfr-1024-untrained,0.065693841,0.053439943
encoder.layer_norm2.3,Pereira2018-encoding,xlm-mlm-enfr-1024-untrained,0.140343023,0.059217458
encoder.layer_norm2.4,Pereira2018-encoding,xlm-mlm-enfr-1024-untrained,0.111697651,0.075199877
encoder.layer_norm2.5,Pereira2018-encoding,xlm-mlm-enfr-1024-untrained,0.144403614,0.094998949
dropout,Pereira2018-encoding,xlm-clm-enfr-1024,0.002250798,0.07214382
encoder.layer_norm2.0,Pereira2018-encoding,xlm-clm-enfr-1024,0.124198949,0.040744178
encoder.layer_norm2.1,Pereira2018-encoding,xlm-clm-enfr-1024,0.347202271,0.121633091
encoder.layer_norm2.2,Pereira2018-encoding,xlm-clm-enfr-1024,0.384184263,0.072701355
encoder.layer_norm2.3,Pereira2018-encoding,xlm-clm-enfr-1024,0.487358959,0.066095627
encoder.layer_norm2.4,Pereira2018-encoding,xlm-clm-enfr-1024,0.404684179,0.0363692
encoder.layer_norm2.5,Pereira2018-encoding,xlm-clm-enfr-1024,0.53740213,0.039841878
dropout,Pereira2018-encoding,xlm-clm-enfr-1024-untrained,-0.017598962,0.043607191
encoder.layer_norm2.0,Pereira2018-encoding,xlm-clm-enfr-1024-untrained,0.063506783,0.056324083
encoder.layer_norm2.1,Pereira2018-encoding,xlm-clm-enfr-1024-untrained,0.034601449,0.054604228
encoder.layer_norm2.2,Pereira2018-encoding,xlm-clm-enfr-1024-untrained,0.087279102,0.034056942
encoder.layer_norm2.3,Pereira2018-encoding,xlm-clm-enfr-1024-untrained,0.123036457,0.059378212
encoder.layer_norm2.4,Pereira2018-encoding,xlm-clm-enfr-1024-untrained,0.156004793,0.053068812
encoder.layer_norm2.5,Pereira2018-encoding,xlm-clm-enfr-1024-untrained,0.155163205,0.048171657
dropout,Pereira2018-encoding,xlm-mlm-xnli15-1024,0.03923449,0.06687723
encoder.layer_norm2.0,Pereira2018-encoding,xlm-mlm-xnli15-1024,0.077137639,0.055817182
encoder.layer_norm2.1,Pereira2018-encoding,xlm-mlm-xnli15-1024,0.144213939,0.050177277
encoder.layer_norm2.2,Pereira2018-encoding,xlm-mlm-xnli15-1024,0.157846245,0.072398685
encoder.layer_norm2.3,Pereira2018-encoding,xlm-mlm-xnli15-1024,0.188102347,0.047476838
encoder.layer_norm2.4,Pereira2018-encoding,xlm-mlm-xnli15-1024,0.175773244,0.083905518
encoder.layer_norm2.5,Pereira2018-encoding,xlm-mlm-xnli15-1024,0.174092827,0.115140163
encoder.layer_norm2.6,Pereira2018-encoding,xlm-mlm-xnli15-1024,0.161576334,0.111856806
encoder.layer_norm2.7,Pereira2018-encoding,xlm-mlm-xnli15-1024,0.214258977,0.144573781
encoder.layer_norm2.8,Pereira2018-encoding,xlm-mlm-xnli15-1024,0.243584983,0.076900242
encoder.layer_norm2.9,Pereira2018-encoding,xlm-mlm-xnli15-1024,0.320649689,0.083919006
